,company_name,security,sector
186,AMBEON HOLDINGS PLC,GREG.N0000,2520
187,PGP GLASS CEYLON PLC,GLAS.N0000,1510
188,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,2530
189,GESTETNER OF CEYLON PLC,GEST.N0000,2020
190,EQUITY TWO PLC,ETWO.N0000,6020
191,E - CHANNELLING PLC,ECL.N0000,3510
192,EASTERN MERCHANTS PLC,EMER.N0000,2550
193,ELPITIYA PLANTATIONS PLC,ELPL.N0000,3020
194,EDEN HOTEL LANKA PLC,EDEN.N0000,2530
195,E B CREASY & COMPANY PLC,EBCR.N0000,2010
196,EAST WEST PROPERTIES PLC,EAST.N0000,6020
197,DANKOTUWA PORCELAIN PLC,DPL.N0000,2520
198,COLOMBO DOCKYARD PLC,DOCK.N0000,2010
199,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,3020
200,DIPPED PRODUCTS PLC,DIPD.N0000,1510
201,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,2550
202,DIALOG AXIATA PLC,DIAL.N0000,5010
203,DFCC BANK PLC,DFCC.N0000,4010
204,C. W. MACKIE PLC,CWM.N0000,2550
205,CHRISSWORLD PLC,CWL.N0000,2030
206,C T LAND DEVELOPMENT PLC,CTLD.N0000,6020
207,C T HOLDINGS PLC,CTHR.N0000,3010
208,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,3020
209,CEYLON TOBACCO COMPANY PLC,CTC.N0000,3020
210,CEYLON TEA BROKERS PLC,CTBL.N0000,2550
211,SEYLAN DEVELOPMENTS PLC,CSD.N0000,6020
212,NATION LANKA FINANCE PLC,CSF.N0000,4020
213,HAYLEYS LEISURE PLC,CONN.N0000,2530
214,SOFTLOGIC FINANCE PLC,CRL.N0000,4020
215,CEYLON PRINTERS PLC,CPRT.N0000,2020
216,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,6020
217,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,4010
